Time (s),Ch1 (V)
0,0.1415032
0.0001000,0.1463388
0.0002000,0.1415032
0.0003000,0.1487566
0.0004000,0.1415032
0.0005000,0.1463388
0.0006000,0.1439210
0.0007000,0.1390853
0.0008000,0.1463388
0.0009000,0.1415032
0.0010000,0.1439210
0.0011000,0.1439210
0.0012000,0.1390853
0.0013000,0.1415032
0.0014000,0.1390853
0.0015000,0.1415032
0.0016000,0.1439210
0.0017000,0.1487566
0.0018000,0.1439210
0.0019000,0.1487566
0.0020000,0.1415032
0.0021000,0.1487566
0.0022000,0.1463388
0.0023000,0.1463388
0.0024000,0.1439210
0.0025000,0.1439210
0.0026000,0.1463388
0.0027000,0.1463388
0.0028000,0.1439210
0.0029000,0.1390853
0.0030000,0.1463388
0.0031000,0.1415032
0.0032000,0.1415032
0.0033000,0.1415032
0.0034000,0.1415032
0.0035000,0.1390853
0.0036000,0.1439210
0.0037000,0.1415032
0.0038000,0.1415032
0.0039000,0.1390853
0.0040000,0.1439210
0.0041000,0.1608458
0.0042000,0.1463388
0.0043000,0.1777705
0.0044000,0.1415032
0.0045000,0.1439210
0.0046000,0.1487566
0.0047000,0.1415032
0.0048000,0.0810576
0.0049000,0.1415032
0.0050000,0.1439210
0.0051000,0.1439210
0.0052000,0.1487566
0.0053000,0.1439210
0.0054000,0.1439210
0.0055000,0.1463388
0.0056000,0.1390853
0.0057000,0.1511745
0.0058000,0.1439210
0.0059000,0.1439210
0.0060000,0.1632636
0.0061000,0.1366675
0.0062000,0.1415032
0.0063000,0.1318319
0.0064000,0.1487566
0.0065000,0.1439210
0.0066000,0.1415032
0.0067000,0.1439210
0.0068000,0.1439210
0.0069000,0.1487566
0.0070000,0.1463388
0.0071000,0.1463388
0.0072000,0.1439210
0.0073000,0.1439210
0.0074000,0.1463388
0.0075000,0.1439210
0.0076000,0.1415032
0.0077000,0.1463388
0.0078000,0.1390853
0.0079000,0.1439210
0.0080000,0.1415032
0.0081000,0.1390853
0.0082000,0.1463388
0.0083000,0.1366675
0.0084000,0.1487566
0.0085000,0.1439210
0.0086000,0.1439210
0.0087000,0.1487566
0.0088000,0.1487566
0.0089000,0.1415032
0.0090000,0.1415032
0.0091000,0.1415032
0.0092000,0.1487566
0.0093000,0.1487566
0.0094000,0.1487566
0.0095000,0.1487566
0.0096000,0.1463388
0.0097000,0.1439210
0.0098000,0.1439210
0.0099000,0.1487566
0.0100000,0.1487566
0.0101000,0.1390853
0.0102000,0.1463388
0.0103000,0.1366675
0.0104000,0.1487566
0.0105000,0.1463388
0.0106000,0.1535923
0.0107000,0.1415032
0.0108000,0.1487566
0.0109000,0.1439210
0.0110000,0.1463388
0.0111000,0.1511745
0.0112000,0.1487566
0.0113000,0.1511745
0.0114000,0.1511745
0.0115000,0.1511745
0.0116000,0.1318319
0.0117000,0.1511745
0.0118000,0.1124893
0.0119000,0.1560101
0.0120000,0.1584279
0.0121000,0.1632636
0.0122000,0.1898596
0.0123000,0.1608458
0.0124000,0.1632636
0.0125000,0.1535923
0.0126000,0.1656814
0.0127000,0.1608458
0.0128000,0.1656814
0.0129000,0.1608458
0.0130000,0.1608458
0.0131000,0.1632636
0.0132000,0.1656814
0.0133000,0.1680992
0.0134000,0.1898596
0.0135000,0.1729349
0.0136000,0.1777705
0.0137000,0.1705171
0.0138000,0.1753527
0.0139000,0.1826062
0.0140000,0.1850240
0.0141000,0.1850240
0.0142000,0.1898596
0.0143000,0.1946953
0.0144000,0.1922775
0.0145000,0.2019488
0.0146000,0.2043666
0.0147000,0.1995309
0.0148000,0.2067844
0.0149000,0.2092022
0.0150000,0.2164557
0.0151000,0.2261270
0.0152000,0.2309627
0.0153000,0.2285448
0.0154000,0.2333805
