Time (s),Ch1 (V),Ch2 (V)
0,0.1680992,0.1366675
0.0001250,0.1705171,0.1729349
0.0002500,0.1705171,0.1777705
0.0003750,0.1729349,0.1753527
0.0005000,0.1705171,0.1753527
0.0006250,0.1922775,0.1753527
0.0007500,0.1705171,0.1753527
0.0008750,0.1680992,0.1753527
0.0010000,0.1729349,0.1729349
0.0011250,0.1753527,0.1729349
0.0012500,0.1656814,0.1753527
0.0013750,0.1608458,0.1680992
0.0015000,0.1680992,0.1705171
0.0016250,0.1753527,0.1753527
0.0017500,0.1463388,0.1753527
0.0018750,0.1753527,0.1729349
0.0020000,0.1705171,0.1777705
0.0021250,0.1777705,0.1729349
0.0022500,0.1656814,0.1753527
0.0023750,0.1632636,0.1729349
0.0025000,0.1729349,0.1753527
0.0026250,0.1656814,0.1705171
0.0027500,0.1680992,0.1777705
0.0028750,0.1705171,0.1705171
0.0030000,0.1705171,0.1705171
0.0031250,0.1656814,0.1753527
0.0032500,0.1608458,0.1729349
0.0033750,0.1680992,0.1729349
0.0035000,0.1753527,0.1729349
0.0036250,0.1705171,0.1729349
0.0037500,0.1705171,0.1753527
0.0038750,0.1729349,0.1777705
0.0040000,0.1705171,0.1753527
0.0041250,0.1680992,0.1753527
0.0042500,0.1705171,0.1753527
0.0043750,0.1705171,0.1729349
0.0045000,0.1608458,0.1680992
0.0046250,0.1705171,0.2043666
0.0047500,0.1656814,0.1705171
0.0048750,0.1705171,0.1753527
0.0050000,0.1680992,0.1777705
0.0051250,0.1705171,0.1777705
0.0052500,0.1705171,0.1729349
0.0053750,0.1705171,0.1753527
0.0055000,0.1680992,0.1922775
0.0056250,0.1729349,0.1777705
0.0057500,0.1729349,0.1753527
0.0058750,0.1656814,0.1898596
0.0060000,0.1705171,0.1729349
0.0061250,0.1705171,0.1680992
0.0062500,0.1656814,0.1705171
0.0063750,0.1680992,0.1729349
0.0065000,0.1680992,0.1777705
0.0066250,0.1705171,0.1656814
0.0067500,0.1680992,0.1705171
0.0068750,0.1680992,0.1753527
0.0070000,0.1584279,0.1729349
0.0071250,0.1680992,0.1705171
0.0072500,0.1729349,0.1753527
0.0073750,0.1680992,0.1729349
0.0075000,0.1753527,0.1777705
0.0076250,0.1632636,0.1705171
0.0077500,0.1656814,0.1729349
0.0078750,0.1753527,0.1753527
0.0080000,0.1753527,0.1753527
0.0081250,0.1753527,0.1753527
0.0082500,0.1584279,0.1753527
0.0083750,0.1656814,0.1680992
0.0085000,0.1705171,0.1753527
0.0086250,0.1584279,0.1729349
0.0087500,0.1777705,0.1826062
0.0088750,0.1656814,0.1656814
0.0090000,0.1632636,0.1777705
0.0091250,0.1608458,0.1705171
0.0092500,0.1705171,0.1753527
0.0093750,0.1680992,0.1753527
0.0095000,0.1535923,0.1753527
0.0096250,0.1705171,0.1753527
0.0097500,0.1656814,0.1705171
0.0098750,0.1705171,0.1753527
0.0100000,0.1729349,0.1753527
0.0101250,0.1680992,0.1729349
0.0102500,0.1705171,0.1729349
0.0103750,0.1318319,0.1777705
0.0105000,0.1705171,0.1753527
0.0106250,0.1656814,0.1729349
0.0107500,0.1705171,0.1729349
0.0108750,0.1729349,0.1729349
0.0110000,0.1680992,0.1777705
0.0111250,0.1680992,0.1705171
0.0112500,0.1946953,0.1753527
0.0113750,0.1729349,0.2067844
0.0115000,0.1680992,0.1777705
0.0116250,0.1656814,0.1729349
0.0117500,0.1680992,0.1801883
0.0118750,0.1705171,0.1729349
0.0120000,0.1680992,0.1680992
0.0121250,0.1680992,0.1535923
0.0122500,0.1729349,0.1753527
0.0123750,0.1705171,0.1753527
0.0125000,0.1656814,0.1753527
0.0126250,0.1680992,0.1753527
0.0127500,0.1656814,0.1729349
0.0128750,0.1705171,0.1753527
0.0130000,0.1632636,0.1705171
0.0131250,0.1632636,0.1729349
0.0132500,0.1729349,0.1729349
0.0133750,0.1680992,0.1729349
0.0135000,0.1632636,0.1656814
0.0136250,0.1656814,0.1753527
0.0137500,0.1753527,0.1753527
0.0138750,0.1729349,0.1729349
0.0140000,0.1995309,0.1729349
0.0141250,0.1149071,0.1753527
0.0142500,0.1656814,0.1729349
0.0143750,0.1729349,0.1898596
0.0145000,0.1729349,0.1753527
0.0146250,0.1656814,0.1729349
0.0147500,0.1632636,0.1729349
0.0148750,0.1753527,0.1777705
0.0150000,0.1753527,0.1777705
0.0151250,0.1753527,0.1753527
0.0152500,0.1729349,0.1801883
0.0153750,0.1656814,0.1729349
0.0155000,0.1680992,0.1753527
0.0156250,0.1705171,0.1777705
0.0157500,0.1729349,0.1801883
0.0158750,0.1777705,0.1729349
0.0160000,0.1729349,0.1753527
0.0161250,0.1656814,0.1922775
0.0162500,0.1705171,0.1753527
0.0163750,0.1680992,0.1753527
0.0165000,0.1656814,0.1753527
0.0166250,0.1705171,0.1753527
0.0167500,0.1705171,0.1729349
0.0168750,0.1729349,0.1753527
0.0170000,0.1729349,0.1801883
0.0171250,0.1705171,0.1729349
0.0172500,0.1680992,0.1729349
0.0173750,0.1729349,0.1777705
0.0175000,0.1680992,0.1753527
0.0176250,0.1777705,0.1729349
0.0177500,0.1729349,0.1729349
