Time (s),Ch1 (V)
0,undefined
0.0001000,undefined
0.0002000,undefined
0.0003000,undefined
0.0004000,undefined
0.0005000,undefined
0.0006000,undefined
0.0007000,undefined
0.0008000,undefined
0.0009000,undefined
0.0010000,undefined
0.0011000,undefined
0.0012000,undefined
0.0013000,undefined
0.0014000,undefined
0.0015000,undefined
0.0016000,undefined
0.0017000,undefined
0.0018000,undefined
0.0019000,undefined
0.0020000,0.1850240
0.0021000,0.1560101
0.0022000,0.1608458
0.0023000,0.1560101
0.0024000,0.1560101
0.0025000,0.1535923
0.0026000,0.1560101
0.0027000,0.1560101
0.0028000,0.1511745
0.0029000,0.1560101
0.0030000,0.1535923
0.0031000,0.1535923
0.0032000,0.1584279
0.0033000,0.1608458
0.0034000,0.1584279
0.0035000,0.1584279
0.0036000,0.1511745
0.0037000,0.1535923
0.0038000,0.1560101
0.0039000,0.1535923
0.0040000,0.1511745
0.0041000,0.1632636
0.0042000,0.1560101
0.0043000,0.1584279
0.0044000,0.1584279
0.0045000,0.1535923
0.0046000,0.1584279
0.0047000,0.1608458
0.0048000,0.1584279
0.0049000,0.1560101
0.0050000,0.1560101
0.0051000,0.1584279
0.0052000,0.1584279
0.0053000,0.1560101
0.0054000,0.1149071
0.0055000,0.1560101
0.0056000,0.1608458
0.0057000,0.1584279
0.0058000,0.1584279
0.0059000,0.1584279
0.0060000,0.1584279
0.0061000,0.1560101
0.0062000,0.1560101
0.0063000,0.1584279
0.0064000,0.1584279
0.0065000,0.1560101
0.0066000,0.1560101
0.0067000,0.1535923
0.0068000,0.1608458
0.0069000,0.1608458
0.0070000,0.1511745
0.0071000,0.1584279
0.0072000,0.1584279
0.0073000,0.1584279
0.0074000,0.1584279
0.0075000,0.1439210
0.0076000,0.1680992
0.0077000,0.1584279
0.0078000,0.1608458
0.0079000,0.1535923
0.0080000,0.1608458
0.0081000,0.1632636
0.0082000,0.1560101
0.0083000,0.1560101
0.0084000,0.1584279
0.0085000,0.1632636
0.0086000,0.1608458
0.0087000,0.1729349
0.0088000,0.1608458
0.0089000,0.1584279
0.0090000,0.1584279
0.0091000,0.1584279
0.0092000,0.1608458
0.0093000,0.1608458
0.0094000,0.1632636
0.0095000,0.1584279
0.0096000,0.1560101
0.0097000,0.1560101
0.0098000,0.1560101
0.0099000,0.1608458
0.0100000,0.1584279
0.0101000,0.1535923
0.0102000,0.1632636
0.0103000,0.1632636
0.0104000,0.1656814
0.0105000,0.1632636
0.0106000,0.1584279
0.0107000,0.1656814
0.0108000,0.1632636
0.0109000,0.1584279
0.0110000,0.1656814
0.0111000,0.1656814
0.0112000,0.1656814
0.0113000,0.1632636
0.0114000,0.1632636
0.0115000,0.1680992
0.0116000,0.1705171
0.0117000,0.1632636
0.0118000,0.1680992
0.0119000,0.1729349
0.0120000,0.1680992
0.0121000,0.1729349
0.0122000,0.1729349
0.0123000,0.1777705
0.0124000,0.1753527
0.0125000,0.1656814
0.0126000,0.1826062
0.0127000,0.1777705
0.0128000,0.1777705
0.0129000,0.1898596
0.0130000,0.1801883
0.0131000,0.1777705
0.0132000,0.1898596
0.0133000,0.1922775
0.0134000,0.1850240
0.0135000,0.1922775
0.0136000,0.1971131
0.0137000,0.1995309
0.0138000,0.2019488
0.0139000,0.2092022
0.0140000,0.2067844
0.0141000,0.2067844
0.0142000,0.2188735
0.0143000,0.2164557
0.0144000,0.2043666
0.0145000,0.2212914
0.0146000,0.2261270
0.0147000,0.2309627
0.0148000,0.2333805
0.0149000,0.2333805
0.0150000,0.2430518
0.0151000,0.2454696
0.0152000,0.2503053
0.0153000,0.2478874
0.0154000,0.2503053
0.0155000,0.2599765
0.0156000,0.2648122
0.0157000,0.2938261
0.0158000,0.2696478
0.0159000,0.2696478
0.0160000,0.2817370
0.0161000,0.2889904
0.0162000,0.2841548
0.0163000,0.2841548
0.0164000,0.2333805
0.0165000,0.2938261
0.0166000,0.2962439
0.0167000,0.3034974
0.0168000,0.3059152
0.0169000,0.3083330
0.0170000,0.3300934
0.0171000,0.3155865
0.0172000,0.3180043
0.0173000,0.3252578
0.0174000,0.3349291
0.0175000,0.3349291
0.0176000,0.3446004
0.0177000,0.3494360
0.0178000,0.3494360
0.0179000,0.3542717
0.0180000,0.3687786
0.0181000,0.3736143
0.0182000,0.3760321
0.0183000,0.3566895
0.0184000,0.3832856
0.0185000,0.3953747
0.0186000,0.4050460
0.0187000,0.4098816
0.0188000,0.4122995
0.0189000,0.4171351
0.0190000,0.4219708
0.0191000,0.4388955
0.0192000,0.4413134
0.0193000,0.4413134
0.0194000,0.4485668
0.0195000,0.4582381
0.0196000,0.4679094
0.0197000,0.4727451
0.0198000,0.4751629
0.0199000,0.4799985
0.0200000,0.4945055
0.0201000,0.5017590
0.0202000,0.5065946
0.0203000,0.5138481
0.0204000,0.5138481
0.0205000,0.5235194
0.0206000,0.5307729
0.0207000,0.5380263
0.0208000,0.5452798
0.0209000,0.5501155
0.0210000,0.5525333
0.0211000,0.5549511
0.0212000,0.5549511
0.0213000,0.5646224
0.0214000,0.5670402
0.0215000,0.5646224
0.0216000,0.5670402
0.0217000,0.5670402
0.0218000,0.5694580
0.0219000,0.5670402
0.0220000,0.5670402
0.0221000,0.5622046
0.0222000,0.5670402
0.0223000,0.5549511
0.0224000,0.5573689
0.0225000,0.5573689
0.0226000,0.5573689
0.0227000,0.5476976
0.0228000,0.5501155
0.0229000,0.5380263
0.0230000,0.5380263
0.0231000,0.5331907
0.0232000,0.5259372
0.0233000,0.5162659
0.0234000,0.5090124
0.0235000,0.5065946
0.0236000,0.4969233
0.0237000,0.4848342
0.0238000,0.4848342
0.0239000,0.4751629
0.0240000,0.4606560
0.0241000,0.4534025
0.0242000,0.4340599
0.0243000,0.4316421
0.0244000,0.4098816
0.0245000,0.4026282
0.0246000,0.3881212
0.0247000,0.3881212
0.0248000,0.3663608
0.0249000,0.3857034
0.0250000,0.3373469
0.0251000,0.3325113
0.0252000,0.3155865
0.0253000,0.3059152
0.0254000,0.2889904
0.0255000,0.2696478
0.0256000,0.2551409
0.0257000,0.2503053
0.0258000,0.2357983
0.0259000,0.2164557
0.0260000,0.1946953
0.0261000,0.1874418
0.0262000,0.1801883
0.0263000,0.1608458
0.0264000,0.1535923
0.0265000,0.1608458
0.0266000,0.1584279
0.0267000,0.1801883
0.0268000,0.1922775
0.0269000,0.2067844
0.0270000,0.2237092
0.0271000,0.2309627
0.0272000,0.2454696
0.0273000,0.2623944
0.0274000,0.2769013
0.0275000,0.2889904
0.0276000,0.3010796
0.0277000,0.3083330
0.0278000,0.3349291
0.0279000,0.3470182
0.0280000,0.3711965
0.0281000,0.3808678
0.0282000,0.3953747
0.0283000,0.4074638
0.0284000,0.4268064
0.0285000,0.4292242
0.0286000,0.4413134
0.0287000,0.4509847
0.0288000,0.4751629
0.0289000,0.4848342
0.0290000,0.4969233
0.0291000,0.5041768
0.0292000,0.5065946
0.0293000,0.5186837
0.0294000,0.5259372
0.0295000,0.5380263
0.0296000,0.5501155
0.0297000,0.5694580
0.0298000,0.5622046
0.0299000,0.5646224
0.0300000,0.5767115
0.0301000,0.5767115
0.0302000,0.5839650
0.0303000,0.5839650
0.0304000,0.5863828
0.0305000,0.5888006
0.0306000,0.5888006
0.0307000,0.5936363
0.0308000,0.5888006
0.0309000,0.5863828
0.0310000,0.6081432
0.0311000,0.5839650
0.0312000,0.5863828
0.0313000,0.5839650
0.0314000,0.5839650
0.0315000,0.5742937
0.0316000,0.5718759
0.0317000,0.5597867
0.0318000,0.5646224
0.0319000,0.5549511
0.0320000,0.5476976
0.0321000,0.5380263
0.0322000,0.4654916
0.0323000,0.5259372
0.0324000,0.5186837
0.0325000,0.5162659
0.0326000,0.5041768
0.0327000,0.5017590
0.0328000,0.4872520
0.0329000,0.4775807
0.0330000,0.4751629
0.0331000,0.4630738
