Time (s),Ch1 (V)
0,0.1560101
0.0012500,0.1511745
0.0025000,0.1560101
0.0037500,0.1560101
0.0050000,0.1584279
0.0062500,0.1511745
0.0075000,0.1487566
0.0087500,0.1584279
0.0100000,0.1560101
0.0112500,0.1560101
0.0125000,0.1535923
0.0137500,0.1584279
0.0150000,0.1535923
0.0162500,0.1560101
0.0175000,0.1584279
0.0187500,0.1535923
0.0200000,0.1560101
0.0212500,0.1535923
0.0225000,0.1560101
0.0237500,0.1560101
0.0250000,0.1511745
0.0262500,0.1487566
0.0275000,0.1632636
0.0287500,0.1535923
0.0300000,0.1511745
0.0312500,0.1584279
0.0325000,0.1511745
0.0337500,0.1560101
0.0350000,0.1535923
0.0362500,0.1560101
0.0375000,0.1511745
0.0387500,0.1535923
0.0400000,0.1535923
0.0412500,0.1584279
0.0425000,0.1560101
0.0437500,0.1560101
0.0450000,0.1487566
0.0462500,0.1511745
0.0475000,0.1584279
0.0487500,0.1535923
0.0500000,0.1463388
0.0512500,0.1560101
0.0525000,0.1584279
0.0537500,0.1511745
0.0550000,0.1535923
0.0562500,0.1560101
0.0575000,0.1535923
0.0587500,0.1511745
0.0600000,0.1560101
0.0612500,0.1560101
0.0625000,0.1511745
0.0637500,0.1535923
0.0650000,0.1535923
0.0662500,0.1753527
0.0675000,0.1535923
0.0687500,0.1511745
0.0700000,0.1560101
0.0712500,0.1560101
0.0725000,0.1511745
0.0737500,0.1560101
0.0750000,0.1487566
0.0762500,0.1560101
0.0775000,0.1487566
0.0787500,0.1511745
0.0800000,0.1535923
0.0812500,0.1584279
0.0825000,0.1463388
0.0837500,0.1535923
0.0850000,0.1801883
0.0862500,0.1487566
0.0875000,0.1535923
0.0887500,0.1560101
0.0900000,0.1463388
0.0912500,0.1560101
0.0925000,0.1535923
0.0937500,0.1487566
0.0950000,0.1535923
0.0962500,0.1535923
0.0975000,0.1535923
0.0987500,0.1535923
0.1000000,0.1535923
0.1012500,0.1535923
0.1025000,0.1535923
0.1037500,0.1487566
0.1050000,0.1584279
0.1062500,0.1487566
0.1075000,0.1560101
0.1087500,0.1511745
0.1100000,0.1511745
0.1112500,0.1487566
0.1125000,0.1511745
0.1137500,0.1511745
0.1150000,0.1535923
0.1162500,0.1898596
0.1175000,0.1197427
0.1187500,0.1584279
0.1200000,0.1535923
0.1212500,0.1535923
0.1225000,0.1535923
0.1237500,0.1535923
0.1250000,0.1511745
0.1262500,0.1511745
0.1275000,0.1511745
0.1287500,0.1584279
0.1300000,0.1487566
0.1312500,0.1584279
0.1325000,0.1487566
0.1337500,0.1560101
0.1350000,0.1463388
0.1362500,0.1487566
0.1375000,0.1560101
0.1387500,0.1511745
0.1400000,0.1560101
0.1412500,0.1487566
0.1425000,0.1511745
0.1437500,0.1463388
0.1450000,0.1535923
0.1462500,0.1487566
0.1475000,0.1487566
0.1487500,0.1463388
0.1500000,0.1535923
