Time (s),Ch1 (V)
0,0.1487566
0.0005000,0.1560101
0.0010000,0.1511745
0.0015000,0.1535923
0.0020000,0.1560101
0.0025000,0.1535923
0.0030000,0.1608458
0.0035000,0.1535923
0.0040000,0.1535923
0.0045000,0.1511745
0.0050000,0.1511745
0.0055000,0.1535923
0.0060000,0.1584279
0.0065000,0.1584279
0.0070000,0.1608458
0.0075000,0.1584279
0.0080000,0.1560101
0.0085000,0.1511745
0.0090000,0.1535923
0.0095000,0.1511745
0.0100000,0.1535923
0.0105000,0.1560101
0.0110000,0.1560101
0.0115000,0.1511745
0.0120000,0.1511745
0.0125000,0.1560101
0.0130000,0.1560101
0.0135000,0.1535923
0.0140000,0.1511745
0.0145000,0.1511745
0.0150000,0.1560101
0.0155000,0.1560101
0.0160000,0.1511745
0.0165000,0.1560101
0.0170000,0.1560101
0.0175000,0.1535923
0.0180000,0.1560101
0.0185000,0.1511745
0.0190000,0.1487566
0.0195000,0.1560101
0.0200000,0.1511745
0.0205000,0.1560101
0.0210000,0.1511745
0.0215000,0.1608458
0.0220000,0.1511745
0.0225000,0.1560101
0.0230000,0.1560101
0.0235000,0.1560101
0.0240000,0.1560101
0.0245000,0.1656814
0.0250000,0.1535923
0.0255000,0.1535923
0.0260000,0.1584279
0.0265000,0.1560101
0.0270000,0.1560101
0.0275000,0.1535923
0.0280000,0.1560101
0.0285000,0.1560101
0.0290000,0.1584279
0.0295000,0.1656814
0.0300000,0.1656814
0.0305000,0.1705171
0.0310000,0.1680992
0.0315000,0.1705171
0.0320000,0.1753527
0.0325000,0.1922775
0.0330000,0.1946953
0.0335000,0.2092022
0.0340000,0.2164557
0.0345000,0.2333805
0.0350000,0.2551409
0.0355000,0.2672300
0.0360000,0.2986617
0.0365000,0.3059152
0.0370000,0.3421826
0.0375000,0.3711965
0.0380000,0.3929569
0.0385000,0.4461490
0.0390000,0.4751629
0.0395000,0.5065946
0.0400000,0.5404442
0.0405000,0.5694580
0.0410000,0.6033076
0.0415000,0.6178145
0.0420000,0.6129789
0.0425000,0.6081432
0.0430000,0.5646224
0.0435000,0.5186837
0.0440000,0.4679094
0.0445000,0.4413134
0.0450000,0.3808678
0.0455000,0.3325113
0.0460000,0.2503053
